"term","med","med_sd","min","max","justice","just_pr","CEHughes2","JCMcReynolds","LDBrandeis","GSutherland","PButler","HFStone","OJRoberts","BNCardozo","HLBlack","SFReed","FFrankfurter","WODouglas","FMurphy","JFByrnes","RHJackson","WBRutledge","HHBurton","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch","BMKavanaugh","ACBarrett"
"1937a",-0.325,0.335,-2.927,3.446,"CEHughes2",0.647,0.6474,0,0.1806,0,0,0.058,0.1008,0.0132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937b",-0.558,0.335,-2.927,3.444,"LDBrandeis",0.445,0.2072,0,0.4453,,0,0.2279,0.0103,0.0302,0,0.0791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938a",-0.523,0.358,-3.225,3.582,"LDBrandeis",0.495,0.0965,0,0.4952,,0,0.3768,0.0003,,0,0.0219,0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938b",-0.682,0.343,-3.312,3.582,"HFStone",0.883,0.0152,0,,,0,0.8834,0,,0,0.0734,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",-1.004,0.349,-3.42,3.539,"SFReed",0.657,0,0,,,,0.0625,0,,0,0.6566,0.2304,0,0.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",-0.626,0.341,-3.467,3.36,"FFrankfurter",0.491,0,0,,,,0.0356,0,,0,0.4728,0.4911,0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",-0.144,0.327,-3.386,1.856,"JFByrnes",0.459,,,,,,0.003,0,,0,0.3417,0.1279,0,0,0.4589,0.0685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",0.092,0.327,-3.137,2.102,"SFReed",0.573,,,,,,0.085,0,,0,0.5729,0.0311,0,0,,0.311,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",0.037,0.322,-2.799,2.423,"RHJackson",0.441,,,,,,0.1724,0,,0,0.3846,0.0016,0,0,,0.4414,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",-0.086,0.325,-2.57,2.759,"SFReed",0.902,,,,,,0.0004,0,,0,0.9021,0.0013,0,0,,0.0962,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",0.066,0.308,-2.193,0.904,"SFReed",0.891,,,,,,0.0107,,,0,0.8912,0.0111,0,0,,0.04,0,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",0.246,0.257,-2.032,1.166,"SFReed",0.633,,,,,,,,,0,0.6327,0.0002,0,0,,0.0002,0,0.0838,0.2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",0.447,0.23,-1.97,1.239,"FMVinson",0.482,,,,,,,,,0,0.4685,0.0154,0,0,,0.0011,0,0.033,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",0.548,0.262,-1.97,1.313,"FFrankfurter",0.542,,,,,,,,,0,0.3487,0.5425,0,0,,0.0011,0,0.0352,0.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",0.881,0.302,-1.653,1.441,"HHBurton",0.279,,,,,,,,,0,0.1644,0.0298,0,,,0.1306,,0.279,0.1396,0.1696,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",0.931,0.289,-1.567,1.527,"HHBurton",0.373,,,,,,,,,0,0.1161,0.0018,0,,,0.1806,,0.3732,0.0732,0.2087,0.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",0.932,0.3,-1.598,1.673,"HHBurton",0.545,,,,,,,,,0,0.083,0.0001,0,,,0.1788,,0.5446,0.0122,0.1553,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",1.066,0.374,-2.166,1.642,"TCClark",0.313,,,,,,,,,0,0.1018,0,0,,,0.1623,,0.1743,0.0742,0.3133,0.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",0.573,0.419,-2.896,1.582,"TCClark",0.541,,,,,,,,,0,0.0002,0.1719,0,,,0.1676,,0.0025,,0.5413,0.1105,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954",0.35,0.446,-3.594,1.552,"FFrankfurter",0.674,,,,,,,,,0,0,0.6738,0,,,,,0.0001,,0.245,0.0198,0.0005,0.0608,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955",0.559,0.484,-4.166,1.348,"FFrankfurter",0.774,,,,,,,,,0,0.0388,0.7745,0,,,,,0.0023,,0.0141,0.1493,0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956a",0.162,0.51,-4.67,1.322,"TCClark",0.984,,,,,,,,,0,0.0158,0.0006,0,,,,,0,,0.9835,,0,0,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,
"1956b",0.163,0.51,-4.67,1.334,"TCClark",0.995,,,,,,,,,0,,0.0007,0,,,,,0,,0.9952,,0,0,0.0001,0.004,,,,,,,,,,,,,,,,,,,,,,,,
"1957",0.58,0.545,-5.082,1.386,"TCClark",0.951,,,,,,,,,0,,0.004,0,,,,,0.0203,,0.9511,,0,0.0006,0,0.024,,,,,,,,,,,,,,,,,,,,,,,,
"1958",0.643,0.578,-5.457,1.643,"TCClark",0.492,,,,,,,,,0,,0.0016,0,,,,,0.1404,,0.4923,,0,0.0023,0,0.012,0.3514,,,,,,,,,,,,,,,,,,,,,,,
"1959",0.335,0.621,-5.759,1.846,"TCClark",0.87,,,,,,,,,0,,0,0,,,,,,,0.8697,,0,0,0,0,0.1303,,,,,,,,,,,,,,,,,,,,,,,
"1960",0.443,0.667,-6.027,1.989,"PStewart",0.914,,,,,,,,,0,,0,0,,,,,,,0.0859,,0,0,0,0.0004,0.9137,,,,,,,,,,,,,,,,,,,,,,,
"1961",-0.041,0.709,-6.273,2.307,"BRWhite",0.463,,,,,,,,,0,,0,0,,,,,,,0.0968,,0,0,0.0307,0.0021,0.4072,0.4632,,,,,,,,,,,,,,,,,,,,,,
"1962",-1.079,0.75,-6.493,2.556,"AJGoldberg",0.609,,,,,,,,,0.0066,,,0,,,,,,,0,,0.0438,0,0.3404,,0,0.0002,0.609,,,,,,,,,,,,,,,,,,,,,
"1963",-1.133,0.792,-6.696,2.656,"WJBrennan",0.497,,,,,,,,,0.0887,,,0,,,,,,,0,,0.0795,0,0.4969,,0,0,0.3349,,,,,,,,,,,,,,,,,,,,,
"1964",-0.707,0.82,-6.924,2.445,"AJGoldberg",0.559,,,,,,,,,0.2693,,,0,,,,,,,0.0216,,0.0108,0,0.1067,,0,0.0328,0.5588,,,,,,,,,,,,,,,,,,,,,
"1965",-0.56,0.842,-7.136,2.352,"HLBlack",0.909,,,,,,,,,0.9093,,,0,,,,,,,0.0175,,0.002,0,0.0131,,0,0.0539,,0.0042,,,,,,,,,,,,,,,,,,,,
"1966",-0.414,0.872,-7.309,2.054,"HLBlack",0.978,,,,,,,,,0.9779,,,0,,,,,,,0.0031,,0.0001,0,0.0003,,0,0.0186,,0,,,,,,,,,,,,,,,,,,,,
"1967",-1.043,0.902,-7.463,1.473,"TMarshall",0.464,,,,,,,,,0,,,0,,,,,,,,,0.1826,0,0.2304,,0,0,,0.1231,0.4639,,,,,,,,,,,,,,,,,,,
"1968",-0.896,0.937,-7.585,0.767,"AFortas",0.344,,,,,,,,,0.0002,,,0,,,,,,,,,0.0741,0,0.3009,,0,0,,0.3443,0.2805,,,,,,,,,,,,,,,,,,,
"1969",0.19,0.965,-7.664,2.022,"BRWhite",0.521,,,,,,,,,0.3766,,,0,,,,,,,,,,0.0098,0,,0.0919,0.5215,,,0,0,0.0002,,,,,,,,,,,,,,,,,
"1970",0.381,0.996,-7.735,2.191,"BRWhite",0.514,,,,,,,,,0.0259,,,0,,,,,,,,,,0.0417,0,,0.418,0.5144,,,0,0,0,,,,,,,,,,,,,,,,,
"1971",0.64,1.026,-7.798,3.584,"BRWhite",0.997,,,,,,,,,,,,0,,,,,,,,,,,0,,0.0016,0.9967,,,0,0,0,0.0017,0,,,,,,,,,,,,,,,
"1972",0.945,1.06,-7.828,3.995,"BRWhite",0.801,,,,,,,,,,,,0,,,,,,,,,,,0,,0,0.8009,,,0,0,0.014,0.1851,0,,,,,,,,,,,,,,,
"1973",0.609,1.09,-7.87,4.265,"BRWhite",0.631,,,,,,,,,,,,0,,,,,,,,,,,0,,0.363,0.6315,,,0,0,0.0007,0.0048,0,,,,,,,,,,,,,,,
"1974",0.615,1.116,-7.923,4.366,"BRWhite",0.809,,,,,,,,,,,,0,,,,,,,,,,,0,,0.1336,0.8093,,,0,0,0.038,0.0191,0,,,,,,,,,,,,,,,
"1975",0.492,1.155,-7.929,4.474,"PStewart",0.458,,,,,,,,,,,,0,,,,,,,,,,,0,,0.4575,0.4571,,,0,0,0.0353,0.0186,0,0.0315,,,,,,,,,,,,,,
"1976",0.473,0.278,-2.708,4.448,"PStewart",0.511,,,,,,,,,,,,,,,,,,,,,,,0,,0.5113,0.2315,,,0,0,0.1367,0.1205,0,0,,,,,,,,,,,,,,
"1977",0.233,0.293,-2.851,4.451,"PStewart",0.393,,,,,,,,,,,,,,,,,,,,,,,0,,0.393,0.0892,,,0,0,0.3646,0.1124,0,0.0408,,,,,,,,,,,,,,
"1978",0.156,0.338,-3.079,4.482,"HABlackmun",0.816,,,,,,,,,,,,,,,,,,,,,,,0,,0.0371,0.1398,,,0,0,0.8159,0.0011,0,0.0061,,,,,,,,,,,,,,
"1979",0.24,0.372,-3.336,4.511,"BRWhite",0.819,,,,,,,,,,,,,,,,,,,,,,,0,,0.1162,0.8187,,,0,0,0.0608,0.001,0,0.0033,,,,,,,,,,,,,,
"1980",0.231,0.402,-3.481,4.37,"BRWhite",0.902,,,,,,,,,,,,,,,,,,,,,,,0,,0.0175,0.902,,,0,0,0.0694,0.0012,0,0.0099,,,,,,,,,,,,,,
"1981",0.266,0.43,-3.613,4.221,"BRWhite",0.99,,,,,,,,,,,,,,,,,,,,,,,0,,,0.9903,,,0,0,0.0036,0.0001,0,0.006,0,,,,,,,,,,,,,
"1982",0.673,0.446,-3.786,4.153,"BRWhite",0.993,,,,,,,,,,,,,,,,,,,,,,,0,,,0.9933,,,0,0.0001,0,0.0066,0,0,0,,,,,,,,,,,,,
"1983",0.877,0.469,-3.877,4.058,"BRWhite",0.832,,,,,,,,,,,,,,,,,,,,,,,0,,,0.8321,,,0,0,0,0.1678,0,0,0.0001,,,,,,,,,,,,,
"1984",0.828,0.495,-3.955,3.83,"LFPowell",0.811,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1875,,,0,0,0,0.8109,0,0,0.0016,,,,,,,,,,,,,
"1985",0.932,0.502,-4.077,3.617,"LFPowell",0.899,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0692,,,0,0,0,0.8986,0,0,0.0322,,,,,,,,,,,,,
"1986",0.878,0.508,-4.282,3.353,"LFPowell",0.921,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0481,,,0,,0,0.9207,0,0,0.0075,0.0237,,,,,,,,,,,,
"1987",0.972,0.532,-4.432,2.905,"BRWhite",0.712,,,,,,,,,,,,,,,,,,,,,,,0,,,0.7118,,,0,,0,,0,0,0.0111,0.0067,0.2704,,,,,,,,,,,
